Substrate_SMILES,cluster_id,pc1,pc2,pc3,pair_count
O=C(O)c1cc(O)c(O)c(O)c1,3,0.39997628,-0.013537347,-0.13419376,2
O=C(O)c1cc(O)ccc1O,3,0.4683752,-0.029100215,-0.17117131,4
O=C(O)c1ccc(O)c(O)c1,3,0.4320492,-0.03755775,-0.1631935,4
O=C(O)c1ccc(O)cc1,3,0.44096762,-0.04558208,-0.17382737,10
O=C(O)c1ccccc1O,3,0.4438688,-0.062121876,-0.19054233,6
O=C([O-])/C=C/c1ccccc1,3,0.29637226,-0.011268576,-0.17419024,2
O=C([O-])C1OC(O)C(O)C(O)C1O,2,-0.1395731,-0.15896912,0.22878736,4
O=C([O-])C1OC(OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C(O)C1O,0,-0.22288717,-0.55461335,-0.19303185,1970
O=C([O-])C[C@H](O)C(=O)[O-],6,0.046070952,0.114745505,0.0027293512,6
O=C([O-])Cc1c[nH]c2ccccc12,6,0.2646436,-0.061566774,-0.15132962,4
O=C1C(O)Oc2ccccc2N1O,3,0.24672964,-0.16795853,-0.035995215,8
O=C1CC(O)(c2ccccc2)Oc2ccccc21,3,0.31562877,-0.06247047,-0.040863916,6
O=CNC(CO)COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,5,-0.34990802,-0.072296515,0.29090655,2
O=CNC1COC(OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C1O,0,-0.197248,-0.4812378,-0.19765835,366
O=c1c(-c2ccccc2)coc2ccccc12,3,0.30983454,-0.12691943,-0.13620758,6
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3,0.3930852,-0.099460006,-0.16302097,2
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,3,0.41209123,-0.10318104,-0.17632578,2
O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,3,0.43273905,-0.11124231,-0.20610397,4
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,3,0.44600436,-0.12574984,-0.22212483,6
O=c1cc(-c2ccccc2)oc2cc(O)ccc12,3,0.4477786,-0.11604191,-0.21193056,2
O=c1cc(-c2ccccc2)oc2ccc(O)cc12,3,0.44728696,-0.12189891,-0.20529059,2
O=c1ccc2ccccc2o1,3,0.3418276,-0.14470565,-0.14438081,2
O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(C(O)CO)C(O)C3O)C(O)C2O)c(=O)[nH]1,0,-0.21992515,-0.49184817,-0.1974516,30
O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,0,-0.30359617,-0.5696944,-0.18482246,7560
O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OCC(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,0,-0.19117746,-0.533071,-0.19623627,1086
OC1C(O)C(O)C(O)C(O)C1O,2,-0.09589377,-0.06765226,0.27875257,554
OC1COC(O)C(O)C1O,2,-0.009877138,-0.0703742,0.27556747,4
OCC1=CC([NH2+]C2CC(CO)C(O)C(O)C2O)C(O)C(O)C1O,6,0.045633484,-0.04474447,0.16282897,4
OCC1OC(O)C(O)C(O)C1O,2,-0.3217964,-0.18909429,0.32050258,34
OCCc1ccc(O)cc1,6,0.3224279,-0.015606572,-0.13263464,4
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,3,0.32317132,-0.07389727,0.0017854472,2
Oc1cccc2ccccc12,6,0.43649164,-0.071284235,-0.17011677,4
Oc1ccccc1,3,0.5053977,-0.08584231,-0.21484269,100
